70,133.0
33,47.9
29,88.7
57,120.10000000000001
95,154.5
87,141.10000000000002
50,103.0
48,69.4
19,60.7
71,123.3
49,104.7
0,8.0
2,19.6
99,182.70000000000002
39,98.7
49,100.7
31,90.30000000000001
37,74.1
82,120.60000000000001
69,102.7
41,78.30000000000001
13,61.900000000000006
3,38.9
28,67.4
24,82.2
23,62.900000000000006
62,125.60000000000001
45,106.5
99,151.70000000000002
49,92.7
69,141.7
19,75.7
4,21.2
40,67.0
0,54.0
52,99.60000000000001
27,44.1
10,40.0
59,124.7
90,151.0
69,112.7
58,95.4
0,44.0
91,159.3
73,114.9
22,65.6
12,62.6
90,143.0
57,82.10000000000001
5,56.5
96,175.8
26,70.80000000000001
39,69.7
80,109.0
45,78.5
65,132.5
19,73.7
12,53.6
95,177.5
75,132.5
38,73.4
47,66.1
16,73.8
29,69.7
56,108.8
4,14.2
48,97.4
14,33.2
41,106.30000000000001
79,141.7
